TckrSymb,FinInstrmNm,Industry,exchange
BATAINDIA,BATA INDIA LTD,Consumer Durables,NSE
BAWEJA,BAWEJA STUDIOS LIMITED,Entertainment,NSE
BAYERCROP,BAYER CROPSCIENCE LTD,Fertilizers & Agrochemicals,NSE
BCLIND,BCL INDUSTRIES LIMITED,Beverages,NSE
BEACON,BEACON TRUSTEESHIP LTD,Capital Markets,NSE
BEARDSELL,BEARDSELL LIMITED,Industrial Products,NSE
BEDMUTHA,BEDMUTHA INDUST LTD,Industrial Products,NSE
BLAL,BEML LAND ASSETS LIMITED,Finance,NSE
BEML,BEML LIMITED,"Agricultural, Commercial & Construction Vehicles",NSE
BERGEPAINT,BERGER PAINTS (I) LTD,Consumer Durables,NSE
BESTAGRO,BEST AGROLIFE LIMITED,Fertilizers & Agrochemicals,NSE
BETA,BETA DRUGS LIMITED,Pharmaceuticals & Biotechnology,NSE
BEWLTD,BEW ENGINEERING LIMITED,,NSE
BFINVEST,BF INVESTMENT LIMITED,Finance,NSE
BFUTILITIE,BF UTILITIES LIMITED,Transport Infrastructure,NSE
BANKBETF,BFAM - BANKBETF,,NSE
LIQUIDBETF,BFAM - LIQUIDBETF,,NSE
NIFTYBETF,BFAM - NIFTYBETF,,NSE
BGRENERGY,BGR ENERGY SYSTEMS LTD,Construction,NSE
BHAGERIA,BHAGERIA INDUSTRIES LTD,Chemicals & Petrochemicals,NSE
BHAGCHEM,BHAGIRADHA CHEM & INDS L,Fertilizers & Agrochemicals,NSE
BHAGYANGR,BHAGYANAGAR INDIA LIMITED,Non - Ferrous Metals,NSE
BHANDARI,BHANDARI HOSIERY EXP LTD,Textiles & Apparels,NSE
BEPL,BHANSALI ENG. POLYMERS LT,Chemicals & Petrochemicals,NSE
BBL,BHARAT BIJLEE LTD,Electrical Equipment,NSE
BDL,BHARAT DYNAMICS LIMITED,Aerospace & Defense,NSE
BEL,BHARAT ELECTRONICS LTD,Aerospace & Defense,NSE
BHARATFORG,BHARAT FORGE LTD,Auto Components,NSE
BHARATGEAR,BHARAT GEARS LTD.,Auto Components,NSE
BPCL,BHARAT PETROLEUM CORP LT,Petroleum Products,NSE
BHARATRAS,BHARAT RASAYAN LTD,Fertilizers & Agrochemicals,NSE
BRNL,BHARAT ROAD NETWORK LTD,Construction,NSE
BHARATSE,BHARAT SEATS LIMITED,Auto Components,NSE
BHARATWIRE,BHARAT WIRE ROPES LTD.,Industrial Products,NSE
BHARTIARTL,BHARTI AIRTEL LIMITED,Telecom - Services,NSE
BHARTIHEXA,BHARTI HEXACOM LIMITED,Telecom - Services,NSE
BIL,BHARTIYA INETRNATIONAL LT,Consumer Durables,NSE
BHEL,BHEL,Electrical Equipment,NSE
BIGBLOC,BIGBLOC CONSTRUCTION LTD,Cement & Cement Products,NSE
BIKAJI,BIKAJI FOODS INTERN LTD,Food Products,NSE
BIKEWO,BIKEWO GREEN TECH LIMITED,Automobiles,NSE
BINANIIND,BINANI INDUSTRIES LTD,Finance,NSE
BIOCON,BIOCON LIMITED.,Pharmaceuticals & Biotechnology,NSE
BIOFILCHEM,BIOFIL CHEM & PHARMA LTD,Pharmaceuticals & Biotechnology,NSE
BIRLACABLE,BIRLA CABLE LIMITED,Telecom - Equipment & Accessories,NSE
BIRLACORPN,BIRLA CORPORATION LTD,Cement & Cement Products,NSE
BIRLANU,BIRLANU LIMITED,Consumer Durables,NSE
ABGSEC,BIRLASLAMC - ABGSEC,,NSE
